"Sample_ID","lat_N","lon_E","Nutricline_1uM_Interp","Phosphate_surfBottle","Silicate_surfBottle","Nitrate_NitriteBottle","CTD_salinity","Temp_SST","Cruise","Metagenome_Sample_ID","Omega_P","Omega_N","Omega_Fe"
"C132020_199_nifH",27.57961,-63.765065,141.5273207,NA,NA,NA,NA,23.003,"C13","C132020_199_META",1.132983942,-0.434310416,-0.709565896
"C132020_200_nifH",27.658895,-63.92008,141.1475278,NA,NA,NA,NA,23.75,"C13",NA,NA,NA,NA
"C132020_200V1_nifH",27.658895,-63.92008,141.1475278,NA,NA,NA,NA,23.75,"C13","C132020_200V1_META",0.958578153,-0.916280395,-0.68931311
"C132020_201_nifH",28.70142333,-66.0397,134.3264668,NA,NA,NA,NA,21.777,"C13","C132020_201_META",0.971249972,-0.636923026,-0.709565896
"C132020_202_nifH",28.80964333,-66.25899667,127.5054058,NA,NA,NA,NA,22.054,"C13","C132020_202_META",1.099023772,-0.83516714,-0.696172884
"C132020_203_nifH",28.93242167,-66.51228333,119.3904966,NA,NA,NA,NA,22.031,"C13","C132020_203_META",1.147506337,-0.899132922,-0.709565896
"C132020_204_nifH",29.01903,-66.688535,123.9336917,NA,NA,NA,NA,21.964,"C13","C132020_204_META",1.004849316,-0.870710324,-0.668818464
"C132020_205_nifH",29.12637,-66.90986333,114.9026043,NA,NA,NA,NA,21.927,"C13","C132020_205_META",1.127389512,-0.848400738,-0.709565896
"C132020_206_nifH",29.194795,-67.048935,104.421485,NA,NA,NA,NA,21.947,"C13","C132020_206_META",1.142700357,-0.839855858,-0.694603941
"C132020_207_nifH",29.30211333,-67.270035,104.421485,NA,NA,NA,NA,21.826,"C13","C132020_207_META",1.362726611,-0.759154774,-0.709565896
"C132020_208_nifH",29.435955,-67.426265,114.9026043,NA,NA,NA,NA,21.848,"C13","C132020_208_META",1.212429291,-0.714414446,-0.709565896
"C132020_209_nifH",29.59095667,-67.56794333,114.9026043,NA,NA,NA,NA,21.835,"C13","C132020_209_META",1.200659812,-0.245505956,-0.709565896
"C132020_210_nifH",29.76001667,-67.72235833,114.9026043,NA,NA,NA,NA,21.783,"C13","C132020_210_META",1.2517015,-0.295042896,-0.697002874
"C132020_211_nifH",29.91525333,-67.864185,114.9026043,NA,NA,NA,NA,21.714,"C13","C132020_211_META",1.261711189,-0.366618732,-0.709565896
"C132020_212_nifH",30.07482,-68.01062667,103.6482678,NA,NA,NA,NA,22.064,"C13","C132020_212_META",1.452369136,-0.373247703,-0.709565896
"C132020_213_nifH",30.23709333,-68.16018167,103.6482678,NA,NA,NA,NA,21.842,"C13","C132020_213_META",1.231746911,-0.533972723,-0.709565896
"C132020_214_nifH",30.39929667,-68.30927167,103.6482678,NA,NA,NA,NA,21.125,"C13","C132020_214_META",1.719463203,-0.40623194,-0.709565896
"C132020_215_nifH",30.52174833,-68.42158667,109.3217216,NA,NA,NA,NA,21.059,"C13",NA,NA,NA,NA
"C132020_215V1_nifH",30.52174833,-68.42158667,109.3217216,NA,NA,NA,NA,21.059,"C13","C132020_215V1_META",1.31814909,-0.415703707,-0.709565896
"C132020_216_nifH",32.04202,-69.868715,115.6877401,NA,NA,NA,NA,20.096,"C13","C132020_216_META",1.996392106,-0.519491305,-0.642004306
"C132020_217_nifH",32.20803333,-69.99065167,122.0537586,NA,NA,NA,NA,20.143,"C13","C132020_217_META",1.789851185,-0.34938221,-0.709565896
"C132020_218_nifH",32.31193,-70.08644833,119.3256945,NA,NA,NA,NA,20.209,"C13","C132020_218_META",1.809272325,-0.258701002,-0.709565896
"C132020_219_nifH",32.461225,-70.21267,122.0537586,NA,NA,NA,NA,20.202,"C13","C132020_219_META",1.508687952,-0.567355127,-0.69813379
"C132020_220_nifH",32.60779167,-70.36458833,122.0537586,NA,NA,NA,NA,20.257,"C13","C132020_220_META",1.646825366,-0.392221536,-0.709565896
"C132020_221_nifH",32.75527167,-70.50330667,119.3256945,NA,NA,NA,NA,19.982,"C13",NA,NA,NA,NA
"C132020_221V1_nifH",32.88913584,-70.63029667,119.3256945,NA,NA,NA,NA,20.113,"C13",NA,NA,NA,NA
"C132020_222_nifH",33.023,-70.75728667,122.5217875,NA,NA,NA,NA,20.243,"C13","C132020_222_META",1.676791319,-0.185637945,-0.68977642
"C132020_223_nifH",33.22416333,-70.94634167,125.7178804,NA,NA,NA,NA,20.13,"C13","C132020_223_META",1.235217079,-0.326646054,-0.644879382
"C132020_224_nifH",33.46807,-71.17820333,117.7369594,NA,NA,NA,NA,20.228,"C13",NA,NA,NA,NA
"C132020_225_nifH",33.58736833,-71.29251667,117.7369594,NA,NA,NA,NA,20.11,"C13","C132020_225_META",1.363889279,-0.400487636,-0.709565896
"C132020_226_nifH",33.73501667,-71.43408333,117.7369594,NA,NA,NA,NA,20.52,"C13","C132020_226_META",1.257127119,-0.272883869,-0.709565896
"C132020_227_nifH",33.857605,-71.55313333,117.7369594,NA,NA,NA,NA,22.871,"C13",NA,NA,NA,NA
"C132020_227V1_nifH",33.857605,-71.55313333,117.7369594,NA,NA,NA,NA,22.871,"C13","C132020_227V1_META",1.19569945,-0.565794361,-0.709565896
"C132020_229_nifH",33.11592333,-72.845185,105.9770618,NA,NA,NA,NA,20.733,"C13",NA,NA,NA,NA
"C132020_230_nifH",33.31500833,-73.18500167,103.800539,NA,NA,NA,NA,20.551,"C13","C132020_230_META",1.041170036,-0.430553924,-0.709565896
"C132020_231_nifH",34.50448833,-73.50699167,91.66956093,NA,NA,NA,NA,23.315,"C13","C132020_231_META",1.419963071,-0.409670781,-0.709565896
"C132020_232_nifH",35.61716333,-73.70268833,32.37770234,NA,NA,NA,NA,23.846,"C13","C132020_232_META",1.512932959,-0.337867408,-0.709565896
"C132020_233_nifH",35.735065,-73.905805,38.92633609,NA,NA,NA,NA,24.207,"C13","C132020_233_META",1.326149556,-0.490101845,-0.709565896
"C132020_234_nifH",35.943955,-74.26136333,30.28570715,NA,NA,NA,NA,23.722,"C13","C132020_234_META",1.24373043,-0.618576187,-0.702262522
